Q,A
response.setContentType(MediaType.,APPLICATION_OCTET_STREAM_VALUE
response.setContentType(MediaType.APPLICATION_OCTET_STREAM_VALUE,)
response.setContentType(MediaType.APPLICATION_OCTET_STREAM_VALUE),;
response.setContentType(MediaType.APPLICATION_OCTET_STREAM_VALUE);,PARAM_END
FileUtils.,setAttachmentResponseHeader
FileUtils.setAttachmentResponseHeader,(
FileUtils.setAttachmentResponseHeader(,response
FileUtils.setAttachmentResponseHeader(response,@COMMA_CHAR_REPLACE
FileUtils.setAttachmentResponseHeader(response@COMMA_CHAR_REPLACE, 
FileUtils.setAttachmentResponseHeader(response@COMMA_CHAR_REPLACE ,realFileName
FileUtils.setAttachmentResponseHeader(response@COMMA_CHAR_REPLACE realFileName,)
FileUtils.setAttachmentResponseHeader(response@COMMA_CHAR_REPLACE realFileName),;
FileUtils.setAttachmentResponseHeader(response@COMMA_CHAR_REPLACE realFileName);,PARAM_END
FileUtils.,writeBytes
FileUtils.writeBytes,(
FileUtils.writeBytes(,filePath
FileUtils.writeBytes(filePath,@COMMA_CHAR_REPLACE
FileUtils.writeBytes(filePath@COMMA_CHAR_REPLACE, 
FileUtils.writeBytes(filePath@COMMA_CHAR_REPLACE ,response
FileUtils.writeBytes(filePath@COMMA_CHAR_REPLACE response,.
FileUtils.writeBytes(filePath@COMMA_CHAR_REPLACE response.,getOutputStream
FileUtils.writeBytes(filePath@COMMA_CHAR_REPLACE response.getOutputStream,(
FileUtils.writeBytes(filePath@COMMA_CHAR_REPLACE response.getOutputStream(,)
FileUtils.writeBytes(filePath@COMMA_CHAR_REPLACE response.getOutputStream(),)
FileUtils.writeBytes(filePath@COMMA_CHAR_REPLACE response.getOutputStream()),;
FileUtils.writeBytes(filePath@COMMA_CHAR_REPLACE response.getOutputStream());,PARAM_END
if ,(
if (,delete
if (delete,)
if (delete), 
if (delete) ,{
if (delete) {,PARAM_END
FileUtils.,deleteFile
FileUtils.deleteFile,(
FileUtils.deleteFile(,filePath
FileUtils.deleteFile(filePath,)
FileUtils.deleteFile(filePath),;
FileUtils.deleteFile(filePath);,PARAM_END
} ,catch
} catch, 
} catch ,(
} catch (,Exception
} catch (Exception, 
} catch (Exception ,e
} catch (Exception e,)
} catch (Exception e), 
} catch (Exception e) ,{
} catch (Exception e) {,PARAM_END
LOGGER.,error
LOGGER.error,(
LOGGER.error(,"下载文件失败"
LOGGER.error("下载文件失败",@COMMA_CHAR_REPLACE
LOGGER.error("下载文件失败"@COMMA_CHAR_REPLACE, 
LOGGER.error("下载文件失败"@COMMA_CHAR_REPLACE ,e
LOGGER.error("下载文件失败"@COMMA_CHAR_REPLACE e,)
LOGGER.error("下载文件失败"@COMMA_CHAR_REPLACE e),;
LOGGER.error("下载文件失败"@COMMA_CHAR_REPLACE e);,PARAM_END
@PostMapping,(
@PostMapping(,"/common/upload"
@PostMapping("/common/upload",)
@PostMapping("/common/upload"),PARAM_END
public ,AjaxResult
public AjaxResult, 
public AjaxResult ,uploadFile
public AjaxResult uploadFile,(
public AjaxResult uploadFile(,MultipartFile
public AjaxResult uploadFile(MultipartFile, 
public AjaxResult uploadFile(MultipartFile ,file
public AjaxResult uploadFile(MultipartFile file,)
public AjaxResult uploadFile(MultipartFile file), 
public AjaxResult uploadFile(MultipartFile file) ,throws
public AjaxResult uploadFile(MultipartFile file) throws, 
public AjaxResult uploadFile(MultipartFile file) throws ,Exception
public AjaxResult uploadFile(MultipartFile file) throws Exception, 
public AjaxResult uploadFile(MultipartFile file) throws Exception ,{
public AjaxResult uploadFile(MultipartFile file) throws Exception {,PARAM_END
try ,{
try {,PARAM_END
String ,filePath
String filePath, 
String filePath ,=
String filePath =, 
String filePath = ,SltgSysConfig
String filePath = SltgSysConfig,.
String filePath = SltgSysConfig.,getUploadPath
String filePath = SltgSysConfig.getUploadPath,(
String filePath = SltgSysConfig.getUploadPath(,)
String filePath = SltgSysConfig.getUploadPath(),;
String filePath = SltgSysConfig.getUploadPath();,PARAM_END
String ,fileName
String fileName, 
String fileName ,=
String fileName =, 
String fileName = ,FileUploadUtils
String fileName = FileUploadUtils,.
String fileName = FileUploadUtils.,upload
String fileName = FileUploadUtils.upload,(
String fileName = FileUploadUtils.upload(,filePath
String fileName = FileUploadUtils.upload(filePath,@COMMA_CHAR_REPLACE
String fileName = FileUploadUtils.upload(filePath@COMMA_CHAR_REPLACE, 
String fileName = FileUploadUtils.upload(filePath@COMMA_CHAR_REPLACE ,file
String fileName = FileUploadUtils.upload(filePath@COMMA_CHAR_REPLACE file,)
String fileName = FileUploadUtils.upload(filePath@COMMA_CHAR_REPLACE file),;
String fileName = FileUploadUtils.upload(filePath@COMMA_CHAR_REPLACE file);,PARAM_END
String ,url
String url, 
String url ,=
String url =, 
String url = ,serverConfig
String url = serverConfig,.
String url = serverConfig.,getUrl
String url = serverConfig.getUrl,(
String url = serverConfig.getUrl(,)
String url = serverConfig.getUrl(), 
String url = serverConfig.getUrl() ,+
String url = serverConfig.getUrl() +, 
String url = serverConfig.getUrl() + ,fileName
String url = serverConfig.getUrl() + fileName,;
String url = serverConfig.getUrl() + fileName;,PARAM_END
AjaxResult ,ajax
AjaxResult ajax, 
AjaxResult ajax ,=
AjaxResult ajax =, 
AjaxResult ajax = ,AjaxResult
AjaxResult ajax = AjaxResult,.
AjaxResult ajax = AjaxResult.,success
AjaxResult ajax = AjaxResult.success,(
AjaxResult ajax = AjaxResult.success(,)
AjaxResult ajax = AjaxResult.success(),;
AjaxResult ajax = AjaxResult.success();,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,"fileName"
ajax.put("fileName",@COMMA_CHAR_REPLACE
ajax.put("fileName"@COMMA_CHAR_REPLACE, 
ajax.put("fileName"@COMMA_CHAR_REPLACE ,fileName
ajax.put("fileName"@COMMA_CHAR_REPLACE fileName,)
ajax.put("fileName"@COMMA_CHAR_REPLACE fileName),;
ajax.put("fileName"@COMMA_CHAR_REPLACE fileName);,PARAM_END
ajax.,put
ajax.put,(
ajax.put(,"url"
ajax.put("url",@COMMA_CHAR_REPLACE
ajax.put("url"@COMMA_CHAR_REPLACE, 
ajax.put("url"@COMMA_CHAR_REPLACE ,url
ajax.put("url"@COMMA_CHAR_REPLACE url,)
ajax.put("url"@COMMA_CHAR_REPLACE url),;
ajax.put("url"@COMMA_CHAR_REPLACE url);,PARAM_END
return ,ajax
return ajax,;
return ajax;,PARAM_END
} ,catch
} catch, 
} catch ,(
} catch (,Exception
} catch (Exception, 
} catch (Exception ,e
} catch (Exception e,)
} catch (Exception e), 
} catch (Exception e) ,{
} catch (Exception e) {,PARAM_END
return ,AjaxResult
return AjaxResult,.
return AjaxResult.,error
return AjaxResult.error,(
return AjaxResult.error(,e
return AjaxResult.error(e,.
return AjaxResult.error(e.,getMessage
return AjaxResult.error(e.getMessage,(
return AjaxResult.error(e.getMessage(,)
return AjaxResult.error(e.getMessage(),)
return AjaxResult.error(e.getMessage()),;
return AjaxResult.error(e.getMessage());,PARAM_END
import java.,util
import java.util,.
import java.util.,List
import java.util.List,;
import java.util.List;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,beans
import org.springframework.beans,.
import org.springframework.beans.,factory
import org.springframework.beans.factory,.
import org.springframework.beans.factory.,annotation
import org.springframework.beans.factory.annotation,.
import org.springframework.beans.factory.annotation.,Autowired
import org.springframework.beans.factory.annotation.Autowired,;
import org.springframework.beans.factory.annotation.Autowired;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,security
import org.springframework.security,.
import org.springframework.security.,access
import org.springframework.security.access,.
import org.springframework.security.access.,prepost
import org.springframework.security.access.prepost,.
import org.springframework.security.access.prepost.,PreAuthorize
import org.springframework.security.access.prepost.PreAuthorize,;
import org.springframework.security.access.prepost.PreAuthorize;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,DeleteMapping
import org.springframework.web.bind.annotation.DeleteMapping,;
import org.springframework.web.bind.annotation.DeleteMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,GetMapping
import org.springframework.web.bind.annotation.GetMapping,;
import org.springframework.web.bind.annotation.GetMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,PathVariable
import org.springframework.web.bind.annotation.PathVariable,;
import org.springframework.web.bind.annotation.PathVariable;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RequestMapping
import org.springframework.web.bind.annotation.RequestMapping,;
import org.springframework.web.bind.annotation.RequestMapping;,PARAM_END
import org.,springframework
import org.springframework,.
import org.springframework.,web
import org.springframework.web,.
import org.springframework.web.,bind
import org.springframework.web.bind,.
import org.springframework.web.bind.,annotation
import org.springframework.web.bind.annotation,.
import org.springframework.web.bind.annotation.,RestController
import org.springframework.web.bind.annotation.RestController,;
import org.springframework.web.bind.annotation.RestController;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,annotation
import com.sltg.common.annotation,.
import com.sltg.common.annotation.,Log
import com.sltg.common.annotation.Log,;
import com.sltg.common.annotation.Log;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,controller
import com.sltg.common.core.controller,.
import com.sltg.common.core.controller.,BaseController
import com.sltg.common.core.controller.BaseController,;
import com.sltg.common.core.controller.BaseController;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,domain
import com.sltg.common.core.domain,.
import com.sltg.common.core.domain.,AjaxResult
import com.sltg.common.core.domain.AjaxResult,;
import com.sltg.common.core.domain.AjaxResult;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,core
import com.sltg.common.core,.
import com.sltg.common.core.,page
import com.sltg.common.core.page,.
import com.sltg.common.core.page.,TableDataInfo
import com.sltg.common.core.page.TableDataInfo,;
import com.sltg.common.core.page.TableDataInfo;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,enums
import com.sltg.common.enums,.
import com.sltg.common.enums.,BusinessType
import com.sltg.common.enums.BusinessType,;
import com.sltg.common.enums.BusinessType;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,common
import com.sltg.common,.
import com.sltg.common.,utils
import com.sltg.common.utils,.
import com.sltg.common.utils.,poi
import com.sltg.common.utils.poi,.
import com.sltg.common.utils.poi.,ExcelUtil
import com.sltg.common.utils.poi.ExcelUtil,;
import com.sltg.common.utils.poi.ExcelUtil;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,system
import com.sltg.system,.
import com.sltg.system.,domain
import com.sltg.system.domain,.
import com.sltg.system.domain.,SysOperateLog
import com.sltg.system.domain.SysOperateLog,;
import com.sltg.system.domain.SysOperateLog;,PARAM_END
import com.,sltg
import com.sltg,.
import com.sltg.,system
import com.sltg.system,.
import com.sltg.system.,service
import com.sltg.system.service,.
import com.sltg.system.service.,SysOperateLogService
import com.sltg.system.service.SysOperateLogService,;
import com.sltg.system.service.SysOperateLogService;,PARAM_END
@RequestMapping,(
@RequestMapping(,"/monitor/operateLog"
@RequestMapping("/monitor/operateLog",)
@RequestMapping("/monitor/operateLog"),PARAM_END
public ,class
public class, 
public class ,SysOperateLogController
public class SysOperateLogController, 
public class SysOperateLogController ,extends
public class SysOperateLogController extends, 
public class SysOperateLogController extends ,BaseController
public class SysOperateLogController extends BaseController, 
public class SysOperateLogController extends BaseController ,{
public class SysOperateLogController extends BaseController {,PARAM_END
private ,SysOperateLogService
private SysOperateLogService, 
private SysOperateLogService ,operateLogService
private SysOperateLogService operateLogService,;
private SysOperateLogService operateLogService;,PARAM_END
@PreAuthorize,(
@PreAuthorize(,"@ss.hasPermi('monitor:operateLog:list')"
@PreAuthorize("@ss.hasPermi('monitor:operateLog:list')",)
@PreAuthorize("@ss.hasPermi('monitor:operateLog:list')"),PARAM_END
@GetMapping,(
@GetMapping(,"/list"
@GetMapping("/list",)
@GetMapping("/list"),PARAM_END
public ,TableDataInfo
public TableDataInfo, 
public TableDataInfo ,list
public TableDataInfo list,(
public TableDataInfo list(,SysOperateLog
public TableDataInfo list(SysOperateLog, 
public TableDataInfo list(SysOperateLog ,operateLog
public TableDataInfo list(SysOperateLog operateLog,)
public TableDataInfo list(SysOperateLog operateLog), 
public TableDataInfo list(SysOperateLog operateLog) ,{
public TableDataInfo list(SysOperateLog operateLog) {,PARAM_END
startPage(,)
startPage(),;
startPage();,PARAM_END
List<,SysOperateLog
List<SysOperateLog,>
List<SysOperateLog>, 
List<SysOperateLog> ,list
List<SysOperateLog> list, 
List<SysOperateLog> list ,=
List<SysOperateLog> list =, 
List<SysOperateLog> list = ,operateLogService
List<SysOperateLog> list = operateLogService,.
List<SysOperateLog> list = operateLogService.,selectOperateLogList
List<SysOperateLog> list = operateLogService.selectOperateLogList,(
List<SysOperateLog> list = operateLogService.selectOperateLogList(,operateLog
List<SysOperateLog> list = operateLogService.selectOperateLogList(operateLog,)
List<SysOperateLog> list = operateLogService.selectOperateLogList(operateLog),;
List<SysOperateLog> list = operateLogService.selectOperateLogList(operateLog);,PARAM_END
return ,getDataTable
return getDataTable,(
